date,CPI_YOY,CPI_YOY_L1,CPI_YOY_L3,CORE_CPI_YOY,PPI_YOY,PPI_YOY_L1,OIL_CHG,OIL_YOY,OIL_L1,VIX,VIX_L1,YIELD_SPREAD,YIELD_SPREAD_L1,YIELD_SPREAD_L3,GS10,GS10_L1,GS3M,GS3M_L1,SP500_RET,SP500_6M,DXY_CHG,DXY_YOY,UNRATE,UNRATE_CHG,UNRATE_L1,PAYROLLS_YOY,PAYROLLS_L1,CPI_YOY_3M,CPI_YOY_6M,OIL_CHG_3M,OIL_CHG_6M,inflation_future
2021-06-30,5.391451413321335,4.992706537594471,2.619762508959189,4.474619041539296,19.717573221757334,19.24708377518558,10.781063870295693,87.08938213464705,4.309527815130099,15.829999923706055,16.760000228881836,1.402999959886074,1.5729999700561166,1.7330000512301922,1.4429999589920044,1.5809999704360962,0.03999999910593033,0.00800000037997961,2.2214009565834747,14.414798493818237,2.6768895865669773,-5.082654255328311,5.9,-0.1999999999999993,5.8,5.919184141903533,9.038634996993377,4.847950929872639,3.373266709585284,7.5206198085084095,7.359595525784859,5.390348855079163
2021-07-31,5.365475239385398,5.391451413321335,4.15969483870211,4.2745131731807495,20.129533678756474,19.717573221757334,0.6533220628337277,83.63545097498337,10.781063870295693,18.239999771118164,15.829999923706055,1.1989999637007713,1.402999959886074,1.628000041935593,1.2389999628067017,1.4429999589920044,0.03999999910593033,0.03999999910593033,2.274805482838871,18.335373513321397,-0.2920859642253748,-1.411915418746379,5.4,-0.6999999999999993,5.9,5.390829772719119,5.919184141903533,5.249877730100401,4.034217625889503,5.247971249419841,6.204398903921104,6.221868903328898
2021-08-31,5.251271554874992,5.365475239385398,4.992706537594471,4.000282784384357,20.131240349974266,20.129533678756474,-7.36984066687204,60.76038258342289,0.6533220628337277,16.479999542236328,18.239999771118164,1.2640000209212303,1.1989999637007713,1.5729999700561166,1.3040000200271606,1.2389999628067017,0.03999999910593033,0.03999999910593033,2.8990416255438634,18.669700527914923,0.49907680765002294,0.5317971207025929,5.1,-0.7000000000000002,5.4,4.61081798879428,5.390829772719119,5.336066069193908,4.630060348806249,1.3548484220857946,2.0067437540993396,6.809002839806477
2021-09-30,5.390348855079163,5.251271554874992,5.391451413321335,4.025214269254507,20.551406649616368,20.131240349974266,9.532844933280105,86.54897190971593,-7.36984066687204,23.139999389648438,16.479999542236328,1.5010000430047512,1.2640000209212303,1.402999959886074,1.5290000438690186,1.3040000200271606,0.02800000086426735,0.03999999910593033,-4.75691688019011,8.4233430961564,1.748896464014793,0.3834280676236146,4.7,-1.2000000000000002,5.1,4.232912463849892,4.61081798879428,5.335698549779852,5.091824739826245,0.9387754430805986,4.229697625794504,7.036402865545144
2021-10-31,6.221868903328898,5.390348855079163,5.365475239385398,4.562837877977799,22.37404580152671,20.551406649616368,11.38211522653496,133.50097110103096,9.532844933280105,16.260000228881836,23.139999389648438,1.509000040590763,1.5010000430047512,1.1989999637007713,1.5570000410079956,1.5290000438690186,0.04800000041723251,0.02800000086426735,6.914383640060651,10.14572401657543,-0.13792812033737167,0.0850721291746348,4.5,-0.9000000000000004,4.7,4.290327109364034,4.232912463849892,5.621163104427684,5.435520417264043,4.515039830981009,4.8815055402004255,7.479872468289117
2021-11-30,6.809002839806477,6.221868903328898,5.251271554874992,4.928508607541393,22.686333837619756,22.37404580152671,-20.808902061926727,45.96382903055283,11.38211522653496,27.190000534057617,16.260000228881836,1.3949999585747719,1.509000040590763,1.2640000209212303,1.4429999589920044,1.5570000410079956,0.04800000041723251,0.04800000041723251,-0.8333706184746159,8.63179480365719,1.9868200835293948,4.484592352252625,4.1,-1.0,4.5,4.551855562483809,4.290327109364034,6.140406866071513,5.73823646763271,0.035352699296113364,0.695100560690955,7.871063897739283
2021-12-31,7.036402865545144,6.809002839806477,5.390348855079163,5.453410888992893,20.36807980049875,22.686333837619756,13.644603713594506,55.00824067374535,-20.808902061926727,17.219999313354492,27.190000534057617,1.4789999648928642,1.3949999585747719,1.5010000430047512,1.5119999647140503,1.4429999589920044,0.032999999821186066,0.04800000041723251,4.361291346206486,10.905879599331003,-0.33336774866727925,6.37090901934545,3.9,-0.8000000000000003,4.1,5.098633442770151,4.551855562483809,6.689091536226839,6.012395043003345,1.4059389594009144,1.1723572012407573,8.542455554842432
2022-01-31,7.479872468289117,7.036402865545144,6.221868903328898,6.020648366109982,20.338378906249986,20.36807980049875,17.205162344002424,68.86973225575687,13.644603713594506,24.829999923706055,17.219999313354492,1.608999952673912,1.4789999648928642,1.509000040590763,1.781999945640564,1.5119999647140503,0.17299999296665192,0.032999999821186066,-5.258516502739385,2.7368129638953187,0.9093788682275061,6.579817800830856,4.0,-0.5,3.9,4.999895004304822,5.098633442770151,7.108426057880247,6.364794581153966,3.3469546652234023,3.930997248102207,8.258629340882372
2022-02-28,7.871063897739283,7.479872468289117,6.809002839806477,6.414206342169804,19.97150997150998,20.338378906249986,8.587634218703698,55.64227840764735,17.205162344002424,30.149999618530273,24.829999923706055,1.5509999990463257,1.608999952673912,1.3949999585747719,1.8389999866485596,1.781999945640564,0.2879999876022339,0.17299999296665192,-3.1360491945908286,-3.2887630474402574,0.1760909129201904,6.356536632462628,3.9,-0.19999999999999973,4.0,5.192495466592262,4.999895004304822,7.462446410524514,6.801426638298015,13.145800092100211,6.590576395698164,8.581511543676523
2022-03-31,8.542455554842432,7.871063897739283,7.036402865545144,6.47447858586081,20.936744186046518,19.97150997150998,4.763892081530274,69.50642163276395,8.587634218703698,20.559999465942383,30.149999618530273,1.833999902009964,1.5509999990463257,1.4789999648928642,2.3269999027252197,1.8389999866485596,0.49300000071525574,0.2879999876022339,3.5773288371546252,5.173953466861003,1.6544292102862679,5.4488834267347075,3.7,-0.19999999999999973,3.9,4.910838094181602,5.192495466592262,7.964463973623611,7.326777754925224,10.185562881412134,5.795750920406525,9.059757964784154
