date,CPI,CORE_CPI,PPI,UNRATE,PAYROLLS,SP500,VIX,OIL,GS10,GS3M,DXY,YIELD_SPREAD_10_3M,HY_SPREAD,NFCI,CPI_YOY_BLS,CORE_CPI_YOY_BLS,HAS_BLS_DATA
2006-10-31,201.8,207.8,162.2,4.4,136843.0,1377.93994140625,11.100000381469728,58.72999954223633,4.605999946594238,4.940000057220459,85.31999969482422,-0.3340001106262207,,-0.619,1.3052208835341528,2.718734552644597,1
2006-11-30,201.5,207.6,164.6,4.5,137060.0,1400.6300048828125,10.90999984741211,63.130001068115234,4.458000183105469,4.889999866485596,82.91999816894531,-0.4319996833801269,,-0.631,1.9736842105263277,2.6198714780029557,1
2006-12-31,201.8,207.3,165.6,4.4,137249.0,1418.300048828125,11.5600004196167,61.04999923706055,4.710000038146973,4.885000228881836,83.72000122070312,-0.1750001907348632,,-0.626,2.540650406504064,2.57298367144978,1
2007-01-31,202.416,208.009,164.0,4.6,137472.0,1438.239990234375,10.420000076293944,58.13999938964844,4.826000213623047,4.974999904632568,84.61000061035156,-0.1489996910095214,,-0.665,2.0756429652042385,2.669792694965456,1
2007-02-28,203.499,209.112,166.8,4.5,137560.0,1406.8199462890625,15.420000076293944,61.790000915527344,4.550000190734863,4.994999885559082,83.56999969482422,-0.4449996948242187,,-0.676,2.415198792148976,2.7072691552062933,1
2007-03-31,205.352,209.923,169.3,4.4,137784.0,1420.8599853515625,14.640000343322754,65.87000274658203,4.6479997634887695,4.894999980926514,82.93000030517578,-0.2470002174377441,,-0.624,2.778778778778768,2.451439726695948,1
2007-04-30,206.686,210.311,171.4,4.5,137847.0,1482.3699951171875,14.220000267028809,65.70999908447266,4.630000114440918,4.724999904632568,81.44999694824219,-0.0949997901916503,,-0.596,2.573697270471476,2.341119221411203,1
2007-05-31,207.949,210.316,173.3,4.4,137992.0,1530.6199951171875,13.050000190734863,64.01000213623047,4.889999866485596,4.590000152587891,82.30000305175781,0.2999997138977051,,-0.566,2.6908641975308623,2.2440447253281537,1
2007-06-30,208.352,210.474,173.8,4.6,138070.0,1503.3499755859375,16.229999542236328,70.68000030517578,5.0329999923706055,4.670000076293945,81.91999816894531,0.3629999160766601,,-0.537,2.687037949728932,2.221466731423005,1
2007-07-31,208.299,210.756,175.1,4.7,138044.0,1455.27001953125,23.520000457763672,78.20999908447266,4.770999908447266,4.809999942779541,80.7699966430664,-0.0390000343322753,,-0.406,2.358230958230956,2.2095053346265825,1
2007-08-31,207.917,211.111,172.4,4.6,138013.0,1473.989990234375,23.3799991607666,74.04000091552734,4.537000179290772,3.990000009536743,80.79000091552734,0.5470001697540283,,0.036,1.9700833742030357,2.134010643444606,1
2007-09-30,208.49,211.628,173.5,4.7,138099.0,1526.75,18.0,81.66000366210938,4.578999996185303,3.700000047683716,77.72000122070312,0.8789999485015869,,0.16,2.755051749630355,2.1370656370656382,1
