horizon,ranker,cutoff,n_feat,model,MSE,RMSE,MAE,DirAcc
1,XGBoost,0.002,59,Avg(Lasso+Ridge),0.21472073765864397,0.4633796905979415,0.3318502770383748,0.7049180327868853
1,XGBoost,0.002,59,Avg(top3),0.30329127220554253,0.550718868575921,0.3863367671217302,0.7049180327868853
1,XGBoost,0.005,31,Lasso,0.17712354793227109,0.42086048511623314,0.29336707191963995,0.6639344262295082
1,XGBoost,0.005,31,Ridge,0.20919533258772807,0.45737876272049194,0.33482088181964376,0.680327868852459
1,XGBoost,0.005,31,Linear,0.3724688881519623,0.6103022924354473,0.41279145424417,0.6639344262295082
1,XGBoost,0.005,31,RandomForest,0.8418379059891256,0.9175172510580526,0.5506900081545003,0.5983606557377049
1,XGBoost,0.005,31,LightGBM,0.9309776548538347,0.9648718333819444,0.6166781091450937,0.5901639344262295
1,XGBoost,0.005,31,XGBoost,1.0192885908566953,1.009598232395786,0.6137471894092282,0.5983606557377049
1,XGBoost,0.005,31,GradientBoosting,1.0569429181389318,1.0280772919089944,0.6202357918107025,0.5901639344262295
1,XGBoost,0.005,31,MLP,1.8895862639709038,1.3746222259118699,0.87418523012465,0.5573770491803278
1,XGBoost,0.005,31,Ensemble_Avg,0.2966502259221535,0.5446560620448041,0.3642772915922354,0.6229508196721312
1,XGBoost,0.005,31,Ensemble_Weighted,0.27067187901166173,0.5202613564466053,0.35381959118840367,0.6475409836065574
1,XGBoost,0.005,31,Avg(Lasso+Ridge),0.16335102119010567,0.4041670708879011,0.2935789864484306,0.6721311475409836
1,XGBoost,0.005,31,Avg(top3),0.2053893151400266,0.4531989796325965,0.32534713639897983,0.6721311475409836
1,XGBoost,0.01,14,Linear,0.15237824282106735,0.39035655857314266,0.27607334439171344,0.6967213114754098
1,XGBoost,0.01,14,Ridge,0.17184272510273477,0.41453917197622564,0.29590382665661813,0.7049180327868853
1,XGBoost,0.01,14,Lasso,0.24398607635227318,0.49394946740762175,0.33693924195373004,0.6147540983606558
1,XGBoost,0.01,14,RandomForest,0.9183342200210158,0.9582975634013768,0.5696863750548139,0.6229508196721312
1,XGBoost,0.01,14,XGBoost,0.9287598078981545,0.9637218519355855,0.5951714080709564,0.5983606557377049
1,XGBoost,0.01,14,GradientBoosting,1.0686157539565344,1.0337387261569213,0.6071655608046689,0.5983606557377049
1,XGBoost,0.01,14,LightGBM,1.1830622970772853,1.087686672289996,0.6594197873702449,0.5983606557377049
1,XGBoost,0.01,14,MLP,1.2139349786038196,1.1017871748227148,0.7171277996831411,0.5819672131147541
1,XGBoost,0.01,14,Ensemble_Avg,0.4691288503105297,0.6849298141492526,0.4171187418409493,0.6311475409836066
1,XGBoost,0.01,14,Ensemble_Weighted,0.3263786471341052,0.5712955864822563,0.36767998356612885,0.639344262295082
1,XGBoost,0.01,14,Avg(Linear+Ridge),0.16079017744078647,0.40098650531007457,0.28544264361152877,0.6967213114754098
1,XGBoost,0.01,14,Avg(top3),0.16995050474140935,0.41225053637492015,0.2900383282939342,0.6721311475409836
1,XGBoost,0.02,10,Linear,0.10678421926100135,0.3267785477368448,0.24147615388142898,0.6885245901639344
1,XGBoost,0.02,10,Ridge,0.11369391483201896,0.33718528264445197,0.24229114777823715,0.680327868852459
1,XGBoost,0.02,10,Lasso,0.2349798366671335,0.4847471884055992,0.3346173777171128,0.6475409836065574
1,XGBoost,0.02,10,RandomForest,0.8582882141452767,0.9264384567499757,0.5440730209008571,0.6065573770491803
1,XGBoost,0.02,10,GradientBoosting,0.8663160314900795,0.9307609959007089,0.5371104976667043,0.5901639344262295
1,XGBoost,0.02,10,XGBoost,0.956895382626414,0.9782102957066103,0.5841782579774533,0.5819672131147541
1,XGBoost,0.02,10,LightGBM,1.068186913536981,1.0335312832889874,0.6355429804780713,0.6147540983606558
1,XGBoost,0.02,10,MLP,2.0057383141433514,1.4162409096419124,0.7180602756581819,0.5737704918032787
1,XGBoost,0.02,10,Ensemble_Avg,0.520246331861889,0.7212810352850607,0.4319136340293372,0.6311475409836066
1,XGBoost,0.02,10,Ensemble_Weighted,0.284021639611118,0.5329368063955782,0.34338109202822426,0.6229508196721312
1,XGBoost,0.02,10,Avg(Linear+Ridge),0.10911199005304316,0.33032104088756314,0.24103125350223575,0.6721311475409836
1,XGBoost,0.02,10,Avg(top3),0.12701923992069888,0.3563975868614978,0.25467103593359564,0.6475409836065574
1,RandomForest,0.001,47,Lasso,0.19111716623081015,0.43716949371017433,0.30190279090488287,0.6557377049180327
1,RandomForest,0.001,47,Ridge,0.3916620585214677,0.625829096895844,0.43304258495391734,0.6967213114754098
1,RandomForest,0.001,47,Linear,0.4686354595805875,0.6845695432756175,0.4770114453599503,0.6475409836065574
1,RandomForest,0.001,47,LightGBM,0.8877901592058441,0.9422261720021601,0.5917292894412004,0.6311475409836066
1,RandomForest,0.001,47,RandomForest,0.9565681351649545,0.9780430129421479,0.5741685845891358,0.6311475409836066
1,RandomForest,0.001,47,XGBoost,1.070847875421446,1.034817798175817,0.6072987505947552,0.6229508196721312
1,RandomForest,0.001,47,GradientBoosting,1.0949814878296549,1.0464136313282884,0.5980720092484569,0.5737704918032787
