,0
SUPPLY_PROXY_L1,0.00024847115890116024
INFL_TERM_SLOPE,0.0002478474583021928
SUPPLY_PROXY_6M_L3,0.0002445943664195889
MEDICAL_YOY_3M,0.00024012089550401225
RENT_YOY,0.00023942751386452118
HOUSING_X_SENTIMENT,0.00023611868911104788
OER_YOY_6M,0.00023155762543335858
FEDFUNDS,0.00022723086907429192
FEDFUNDS_CHG,0.00022324123233739547
M2_YOY,0.0002150392675708986
FOOD_YOY_6M,0.00021069752543266854
SP500_6M,0.00021067226536179614
M1_YOY_L6,0.00020978380402811612
INDPRO_YOY,0.0002085062231630339
CASE_SHILLER_YOY_3M,0.00020383138248857865
GS3M,0.00020143937631266534
M2_3M,0.00019752135133121277
OER_YOY,0.00019143571084106808
NFCI_3M,0.0001897979675124991
SHELTER_YOY_L1,0.00018283092668609275
YIELD_SPREAD_10_2Y_L3,0.00017541108036450535
SUPPLY_PROXY_6M_L1,0.0001708027062682297
FOOD_YOY_3M,0.00016045931256153718
UMCSENT_6M,0.00015801673510484413
UMCSENT_L1,0.00015405756163920455
UNRATE,0.00015309027729093507
CASE_SHILLER_YOY_L1,0.00014672932436018236
UNRATE_CHG,0.00012274894490136285
UMCSENT_3M,0.00011722559286427523
RENT_YOY_6M,0.00011112556787522196
YIELD_SPREAD,0.00010339988210740813
UMCSENT,9.268321115176103e-05
RENT_YOY_L3,7.660743788333305e-05
YIELD_SPREAD_10_2Y,7.651010631739239e-05
YIELD_SPREAD_10_2Y_3M,6.82565546488264e-05
YIELD_CURVE_INVERTED,4.354669514859156e-06
