date,recession_prob,y_true
2021-07-01,0.06320330984788447,0
2021-08-01,0.08015821605279068,0
2021-09-01,0.18957283878711614,0
2021-10-01,0.005781421711865911,0
2021-11-01,0.15312823353840546,0
2021-12-01,0.005781421711865911,0
2022-01-01,0.10991577239416361,0
2022-02-01,0.11906977361659252,0
2022-03-01,0.09354208747166594,0
2022-04-01,0.25138214920272867,0
2022-05-01,0.20375412248804614,0
2022-06-01,0.19437951194881667,0
2022-07-01,0.06994089130581509,0
2022-08-01,0.09330042227049958,0
2022-09-01,0.19872796637191711,0
2022-10-01,0.08463298550423662,0
2022-11-01,0.05493640365892299,0
2022-12-01,0.0823313689622593,0
2023-01-01,0.04176380983063096,0
2023-02-01,0.06674488487360365,0
2023-03-01,0.05571072935831078,0
2023-04-01,0.04562191257383923,0
2023-05-01,0.04674160369353033,0
2023-06-01,0.054170000942582355,0
2023-07-01,0.041361417996825446,0
2023-08-01,0.047388292130605504,0
2023-09-01,0.07198344447862863,0
2023-10-01,0.2480670596039881,0
2023-11-01,0.1655756398409274,0
2023-12-01,0.2384812546908839,0
2024-01-01,0.0837021654852159,0
2024-02-01,0.22681679673396796,0
2024-03-01,0.3003317845497342,0
2024-04-01,0.3925530586760009,0
2024-05-01,0.21585963369810743,0
2024-06-01,0.5163416614079587,0
2024-07-01,0.3872101865946944,0
2024-08-01,0.493266734334699,0
2024-09-01,0.3814717826377306,0
2024-10-01,0.4696071300551874,0
2024-11-01,0.47830999021230797,0
2024-12-01,0.45890186615408113,0
2025-01-01,0.20468936348303785,0
2025-02-01,0.17662110604901968,0
2025-03-01,0.2519299668264093,0
2025-04-01,0.21480612287038334,0
2025-05-01,0.12280931809058585,0
2025-06-01,0.020776197236786684,0
2025-07-01,0.027799618556525494,0
2025-08-01,0.03448720709266777,0
2025-09-01,0.103863584214613,0
2025-10-01,0.1398934404778679,0
2025-11-01,0.2582642305033537,0
2025-12-01,0.31116474710292946,0
2026-01-01,0.11084594953096184,0
2026-02-01,0.04033160547363174,0
2026-03-01,0.18661298160477968,0
2026-04-01,0.034168278731218756,0
